Carcinoma,Neoplasms,squamous cell Neoplasm,Liver Cirrhosis Alcoholic,Autistic Disorder,Obesity,Peripheral Neuropathy,IGA Glomerulonephritis,Stomach Neoplasms,Prostatic Neoplasms,Lymphoma,Adenoid cystic,Diabates mellitue,Rheumatoid Arthritis,Ovarian Diseases,Schizophrenia,Heart valve disease,Salivary Gland neoplasam,Brain neoplasms,Kidney Failure,prognosis
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10928
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10625
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p146754
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p1687
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10516
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10499
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p160365
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p1512
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p5566
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p5567
1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,p5743
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p5774
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p5858
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p22979
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p692
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,p6528
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,p23316
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,p7157
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p8289
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p8314
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1847
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1933
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p1387
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1462
